video_id,task,text,gold_label,prediction
01162,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
02060,Video-driven Audio Hallucination,Is the car making sound in the audio?,Yes,"Yes, the car is making sound in the audio."
02060,Video-driven Audio Hallucination,Is the rain making sound in the audio?,Yes,"Yes, the rain is making sound in the audio."
02060,Video-driven Audio Hallucination,Is the street making sound in the audio?,No,"Yes, the street is making sound in the audio."
02060,Video-driven Audio Hallucination,Is the man in red making sound in the audio?,No,"Yes, the man in red is making sound in the audio."
02060,Audio-driven Video Hallucination,Is the car visible in the video?,Yes,"Yes, the car is visible in the video."
02060,Audio-driven Video Hallucination,Is the rain visible in the video?,Yes,"Yes, the rain is visible in the video."
02060,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
02060,AV Captioning,Describe what you see and hear in a single sentence.,"On a rainy night in the street, a man in a red and black coat drove a black car, knocked down a man in red, then got out to check and the two talked. During the rain.","A man in a red jacket is driving a car in the rain, with a man in the back seat."
00938,Video-driven Audio Hallucination,Is the plastic cup making sound in the audio?,No,"No, the plastic cup is not making sound in the audio."
00938,Video-driven Audio Hallucination,Is the bottle making sound in the audio?,No,"Yes, the bottle is making sound in the audio."
00938,Audio-driven Video Hallucination,Is the mechanical device visible in the video?,No,"No, the mechanical device is not visible in the video."
00938,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
00938,AV Captioning,Describe what you see and hear in a single sentence.,A person with painted nails holding a bottle prays with mechanical noise in the background.,A woman is holding a bottle of water and a blue spray bottle.
02231,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
00199,Video-driven Audio Hallucination,Is the dog making sound in the audio?,Yes,"Yes, the dog is making sound in the audio."
00199,Video-driven Audio Hallucination,Is the tire making sound in the audio?,No,"Yes, the tire is making sound in the audio."
00199,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
00199,AV Captioning,Describe what you see and hear in a single sentence.,A brown dog sound on top of a rug next to a large tire whimpers and barks while breathing rapidly.,A brown dog with a black nose and tail is playing with a tire in a room.
01630,Video-driven Audio Hallucination,Is the man making sound in the audio?,Yes,"Yes, the man is making sound in the audio."
01630,Video-driven Audio Hallucination,Is the bird making sound in the audio?,No,"Yes, the bird is making sound in the audio."
01630,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
01630,AV Captioning,Describe what you see and hear in a single sentence.,A man in blue and glasses sneezed at a yellow bird standing on his shoulder.,A man holding a parakeet on his shoulder in a kitchen.
01427,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
01517,Video-driven Audio Hallucination,Is the fishing net making sound in the audio?,No,"Yes, the fishing net is making sound in the audio."
01517,Video-driven Audio Hallucination,Is the man making sound in the audio?,No,"Yes, the man is making sound in the audio."
01517,Audio-driven Video Hallucination,Is the motorcycle engine visible in the video?,No,"Yes, the motorcycle engine is visible in the video."
01517,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
00019,Video-driven Audio Hallucination,Is the water making sound in the audio?,Yes,"Yes, the water is making sound in the audio."
00019,Video-driven Audio Hallucination,Is the woman making sound in the audio?,No,"Yes, the woman is making sound in the audio."
00019,Video-driven Audio Hallucination,Is the rock making sound in the audio?,No,"Yes, the rock is making sound in the audio."
00019,Audio-driven Video Hallucination,Is the water visible in the video?,Yes,"Yes, the water is visible in the video."
00019,Audio-driven Video Hallucination,Is the wind visible in the video?,No,"Yes, the wind is visible in the video."
00019,Audio-driven Video Hallucination,Is the talking woman visible in the video?,No,"Yes, the talking woman is visible in the video."
00019,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
